C1orf112,HPA023778;HPA024451;
MLF2,HPA010811;HPA010859;
DDX24,HPA002554;
ZBTB25,HPA054699;
NECAP1,HPA053980;HPA063300;
ANKRD24,HPA041534;HPA048498;
RCOR1,CAB001956;HPA049327;HPA054241;
GPATCH2L,HPA018856;
SLC9A1,CAB022371;HPA048532;HPA052891;
SPTLC1,HPA010860;CAB018747;HPA063907;
CCNK,HPA000645;HPA077073;
NUDC,HPA027183;HPA028105;
MAEA,HPA036886;HPA058185;
STRN4,HPA043051;HPA043527;HPA056706;
IRAK3,HPA043097;
MUL1,HPA026827;
PDCD7,HPA049388;
DNAJB11,HPA010814;HPA017051;
RAB11FIP3,HPA028088;HPA028631;HPA030086;
GNPTG,HPA004055;
ZNF268,HPA001794;
GOLGA3,HPA039809;HPA040044;
PABPC4,HPA027301;HPA056496;
USP48,HPA030045;HPA030046;
GLG1,HPA010815;
KIF4A,HPA034745;HPA034746;HPA061583;
TNRC6A,HPA015305;HPA017869;
PLEKHG2,HPA017973;HPA048054;
PITPNM2,HPA003414;HPA003978;
EXOC1,HPA037706;HPA044873;
POU4F3,HPA038215;
OSBPL8,HPA001309;
DTX2,HPA042931;
PUS7,HPA024116;
DLD,HPA044849;
WDR7,HPA042074;HPA051057;
TXNL1,HPA002828;HPA002829;CAB016446;
ABCC6,HPA038105;
MAP3K20,HPA017205;
FH,CAB017785;HPA025770;HPA025948;HPA027341;
SEL1L3,HPA040045;HPA058792;
CDV3,HPA029761;HPA029762;HPA029763;
ALKBH5,HPA007196;
SPAG7,HPA024032;HPA052394;
PSME1,HPA006632;
PPP2R3C,HPA040835;HPA058834;
HAUS4,HPA029803;HPA071195;
JPH4,CAB013492;
CEBPE,HPA002928;CAB005113;
HNRNPC,CAB005223;HPA051075;CAB075755;CAB075756;
SUPT16H,CAB022551;HPA049787;
TOX4,HPA017880;HPA027551;
TINF2,HPA059061;HPA069807;
WDR76,HPA039804;HPA040626;
SNAP23,HPA001214;CAB037083;CAB037317;
PHGDH,CAB003681;HPA021241;HPA024031;CAB068216;
COL9A3,HPA040125;HPA058323;
EZR,CAB004035;HPA021616;CAB047324;CAB075739;
TEKT2,HPA027248;HPA027461;
RFFL,CAB008096;HPA017910;HPA019492;
DPYSL2,HPA002381;CAB018719;
GPATCH2,HPA027181;HPA027322;
CDC45,HPA000614;CAB009459;
LRRFIP2,HPA035956;HPA042023;
XYLB,HPA037863;HPA038415;
HDAC6,HPA003714;CAB004236;HPA026321;
AAAS,HPA040086;
CBX5,HPA016699;CAB017548;
SUCO,HPA047251;
MSH2,CAB009572;HPA066845;CAB070867;
MAP3K1,CAB004500;HPA046509;
HOOK2,HPA043519;HPA050351;
ARCN1,HPA037573;HPA044874;
EPB41L4B,HPA042862;
PSMD5,HPA003216;
NUP188,HPA061750;HPA063942;
CRAT,HPA019230;HPA020260;HPA022815;
TBC1D2,HPA030871;HPA076521;
CWF19L1,HPA036889;HPA036890;
IKZF5,HPA015297;HPA051574;
SORBS1,HPA027559;CAB032850;HPA043084;
WAC,HPA036528;HPA042609;HPA074604;
CREM,HPA001818;CAB018352;
NUBP2,HPA041704;
HIVEP1,HPA050724;HPA067457;
SRPK1,HPA016431;HPA056486;
BRPF3,HPA022787;
PGC,HPA031717;HPA031718;
HSP90AB1,CAB005230;HPA055729;HPA072606;HPA074351;
CDC5L,HPA006302;HPA011361;CAB012275;
ITPR3,HPA003915;HPA064704;
ZNF184,HPA003226;HPA064793;
DSP,CAB037324;HPA045840;HPA054950;
HNRNPH3,HPA038264;
IFT74,HPA020247;HPA026684;
ACOT7,HPA025735;HPA025762;
SCD,HPA012107;HPA063921;
ABLIM1,HPA038951;HPA038952;
PRTFDC1,HPA021458;
MZF1,HPA001757;
OCEL1,HPA042070;HPA043223;
MYO9B,CAB037190;HPA042043;
PSMD8,HPA006702;CAB021101;
BCL7C,HPA018676;HPA052654;
CBARP,HPA012777;
HNRNPM,CAB016113;HPA024344;
TECR,HPA029780;HPA056488;
CDC34,HPA002382;CAB005109;CAB047311;HPA074334;
MISP,HPA049511;HPA062232;
POLRMT,HPA006366;
GADD45B,HPA029816;
PALM,HPA041713;HPA049578;
ARVCF,CAB016162;HPA055264;HPA063675;
TRMT2A,HPA001077;
MED15,HPA003179;
SNAP29,HPA031823;CAB037092;HPA056492;
LZTR1,HPA067852;HPA068772;HPA071248;
P2RX6,HPA028776;HPA028777;
DERL3,CAB037234;HPA049306;
BCL2L13,CAB002052;HPA030994;HPA050377;
DDT,HPA049871;HPA074115;
CABIN1,HPA043296;
SUSD2,HPA004117;
PPIL2,HPA035344;HPA055637;
ESS2,HPA001221;HPA001222;
CARD10,HPA029359;HPA055612;
LRP5L,HPA028717;
GRK3,HPA000804;
HIRA,CAB039243;CAB039244;HPA050714;HPA052902;
SH3BP1,HPA000757;
LGALS1,HPA000646;HPA000687;HPA001130;CAB002157;
HPS4,CAB033106;HPA050189;
SRRD,HPA002945;
PATZ1,HPA047893;HPA048315;
TFIP11,HPA027085;
EIF3L,HPA003028;
POLR2F,HPA000827;CAB009882;
TTC28,HPA003099;
CENPM,HPA042404;HPA056500;
SEPT3,HPA003548;CAB017633;
CYP2D6,HPA045223;
DDX17,CAB024908;HPA063142;
TCF20,CAB017849;HPA036786;
TOMM22,HPA003037;
RSPH14,HPA018420;HPA050425;
RTCB,HPA000535;HPA001103;
FBXO7,HPA032113;HPA032114;CAB034296;
POLDIP3,HPA018419;HPA048790;
PPP6R2,HPA030656;CAB034919;
SUN2,HPA001209;
CYB5R3,HPA001566;
DNAL4,HPA003647;
LMF2,HPA062626;
RHBDD3,HPA043979;
TTLL1,HPA048392;
TOM1,HPA000818;HPA001749;
CHKB,HPA018797;
RASD2,HPA005839;
TTLL12,HPA003054;CAB046029;
CBX7,CAB011574;HPA048677;HPA056480;
RPL3,HPA003365;HPA055361;
RBFOX2,HPA006240;HPA075862;
TAB1,CAB032328;HPA039988;HPA057104;
ASCC2,HPA001439;HPA052879;
MIEF1,HPA061059;
PNPLA3,HPA058058;
MYH9,HPA001644;CAB015386;HPA064783;
SAMM50,HPA034537;
TXN2,HPA000994;CAB008681;
EIF3D,HPA045882;HPA063330;HPA066216;
SGSM3,HPA048980;
IFT27,HPA018418;
KIAA0930,HPA038091;
FAM118A,HPA003902;
ST13,HPA043233;HPA046412;HPA047114;HPA047116;
EP300,CAB000146;HPA003128;HPA004112;
L3MBTL2,HPA000815;
PHF5A,HPA028885;
ACO2,HPA001097;
POLR3H,HPA046787;
DESI1,HPA053415;
CERK,HPA064699;
BRD1,HPA000807;HPA001063;
ZBED4,HPA045341;
ABHD4,HPA000600;
FKBP3,HPA000864;CAB012232;CAB012520;
SDR39U1,HPA044294;HPA075356;
RBM23,HPA004144;
PRMT5,HPA005525;CAB012459;HPA064708;
SOS2,CAB004577;HPA047368;HPA052689;
CDKL1,HPA059605;HPA065919;
CDKN3,CAB005285;HPA039311;HPA058874;
CNIH1,HPA002544;
CGRRF1,HPA002930;
CCDC198,HPA029202;
PLEK2,HPA001208;
VTI1B,HPA044121;HPA048150;HPA060118;
TIMM9,HPA002932;
GSTZ1,HPA004701;
KIAA0586,HPA000846;HPA050249;
SAMD15,HPA030673;HPA030677;
AHSA1,HPA000903;CAB006244;
DAAM1,HPA026605;HPA064789;
ISM2,HPA039314;HPA039742;
SNW1,HPA002457;CAB009931;HPA017370;
DHRS7,HPA031121;HPA078401;
PPM1A,HPA029209;
SIX4,HPA031794;
CEP128,HPA000602;HPA001116;HPA018498;
SUSD6,HPA030464;
SRSF5,HPA043484;HPA056523;
EIF5,HPA000867;CAB004226;
MTHFD1,HPA000704;HPA001290;HPA015006;HPA050052;
ZC3H14,HPA049798;HPA053510;
TELO2,HPA041348;HPA041473;
PCNX1,HPA053532;
GSKIP,HPA043054;HPA046782;
VRK1,HPA000660;HPA017929;
RPS6KA5,HPA001274;HPA001780;CAB025458;
PSMB5,HPA049518;HPA061796;
ACIN1,HPA000657;
TRIP11,HPA002570;HPA070684;
APEX1,HPA000956;HPA002564;CAB004294;CAB047307;
SRP54,HPA048977;HPA062044;
CHD8,HPA052186;HPA076133;
PCK2,CAB018734;HPA051162;HPA053502;
DCAF11,HPA003583;HPA031157;
NFKBIA,CAB003815;HPA029207;
BRMS1L,HPA046623;
REC8,HPA031727;HPA031729;
SEC23A,HPA043806;HPA069974;
PNN,HPA001378;
RABGGTA,HPA043488;
PCIF1,HPA049517;
MMP9,CAB000348;HPA001238;HPA063909;CAB068199;CAB068200;CAB068201;
GINS1,HPA051185;
UQCC1,HPA034875;
ZMYND8,HPA020949;
MYBL2,CAB017114;HPA030530;HPA055416;
HNF4A,HPA004712;CAB019417;
RIMS4,HPA060928;
SALL4,HPA015291;HPA015791;
ADNP,HPA006371;
CSTF1,CAB019270;HPA047275;HPA065000;
TPD52L2,HPA047489;
PRPF6,HPA047106;
PRELID3B,HPA047721;
SLCO4A1,HPA030669;HPA030670;
NTSR1,HPA050299;
MRGBP,HPA017012;
DIDO1,CAB004374;HPA049904;
GID8,HPA049929;HPA055047;
SLC17A9,HPA047470;
ARFGAP1,HPA051019;HPA056273;
C20orf27,HPA047483;
CDC25B,HPA038892;HPA038893;HPA075215;
ARFRP1,HPA047028;HPA050634;
TRIB3,HPA015272;HPA055442;
CSNK2A1,CAB020680;HPA059206;HPA061698;CAB069395;
SEC23B,HPA008216;HPA069974;
POFUT1,HPA054519;HPA059935;
SAMHD1,HPA047072;
KIF3B,HPA007119;
NOP56,HPA049918;CAB075757;
MANBAL,HPA052348;
IDH3B,HPA049387;HPA054180;
JAG1,CAB010343;HPA021555;
CST3,CAB000118;HPA013143;
AHCY,HPA041225;HPA044675;
PIGU,HPA041706;HPA046766;
ACOT8,CAB010261;
ZNF516,HPA015792;
ADNP2,HPA007126;
RBFA,HPA040485;HPA041479;
VAPA,HPA009174;
METTL4,HPA040061;HPA046734;
LPIN2,CAB015223;HPA017857;HPA030550;
CEP192,HPA039392;HPA040503;
RNMT,HPA039409;
RNF125,HPA041514;
ANKRD12,HPA040705;
NOL4,HPA046740;
MIB1,HPA019100;CAB037044;
RIOK3,HPA001620;HPA024184;
PSMD10,HPA002920;CAB010434;
ATG4A,HPA036374;HPA064759;
PGRMC1,HPA002877;HPA064724;
POLA1,HPA002947;CAB012274;
NKAP,HPA000916;
PRPS2,HPA051269;HPA067599;CAB070417;
MOSPD1,HPA031158;
AMMECR1,HPA000590;HPA051762;
XIAP,CAB009203;HPA042428;
SMARCA1,HPA003335;HPA064712;
ZC3H12B,HPA000836;
RBBP7,CAB037084;HPA060710;HPA060724;
FMR1,CAB012444;HPA050118;HPA056084;
SCML2,HPA001662;HPA064713;
SLC35A2,HPA036087;
PCSK1N,HPA003925;HPA064734;
EMD,HPA000609;CAB001545;CAB002029;CAB058694;CAB062552;
TAZ,HPA039557;
CD99L2,HPA038782;HPA038783;HPA061400;
EEA1,CAB005861;CAB018782;HPA038158;HPA038159;
JADE3,HPA006007;HPA064697;
CDK16,HPA000974;HPA001366;CAB016535;
HTATSF1,HPA000504;
TIMP1,CAB022360;HPA053417;
KLHL4,HPA029192;
FGD1,HPA000911;
RBM3,HPA003624;CAB062559;
CENPI,HPA061297;
TAF7L,HPA001879;HPA072008;
PBDC1,HPA003155;
ARMCX3,HPA000325;HPA000967;HPA001530;
RUBCNL,HPA026614;
KLF5,HPA040398;
STK24,HPA026435;HPA026502;
ACP5,CAB002584;HPA057655;HPA059463;
DNAJC3,HPA039336;HPA041326;
SUPT20H,HPA038906;HPA038907;
MRPS31,HPA039083;HPA046344;
KPNA3,HPA046852;HPA077643;
KATNAL1,HPA046205;
INTS6,HPA001552;HPA001846;
DHRS12,CAB034238;HPA057028;HPA058315;
ZNF629,HPA019550;HPA056051;
TRADD,CAB004602;HPA071341;
CORO1A,CAB046473;HPA051132;
MAPK3,CAB002683;HPA003995;HPA005700;HPA030069;
GDPD3,HPA041148;HPA041470;
ELMO3,HPA021484;
CENPT,HPA041220;HPA058036;
N4BP1,HPA040849;HPA041080;
ZNF423,HPA015258;HPA065820;
DHODH,HPA010123;HPA011942;
CTCF,HPA004122;CAB062550;CAB068181;CAB068182;
ACD,HPA049411;HPA057660;
ZNF821,HPA036372;HPA042742;
MMP15,CAB002611;HPA040390;
CYB5B,HPA007893;
NME3,HPA041113;HPA052733;
NDRG4,HPA015313;HPA017587;
PSMD7,CAB019379;HPA049824;HPA056069;
SLC38A7,HPA041777;
HAS3,HPA031554;CAB033850;
TANGO6,HPA041312;
COG4,HPA040924;HPA042539;
SLC7A6OS,HPA041533;
SLC7A6,HPA050713;
PLA2G15,HPA041702;HPA041727;
ESRP2,HPA040751;HPA048597;HPA048618;
WDR59,HPA041084;HPA048218;
MON1B,HPA046285;
CMC2,HPA006871;CAB026396;
AXIN1,CAB012987;
NPRL3,HPA011741;
SEC14L5,HPA041492;HPA041825;
TSC2,CAB002225;HPA030409;HPA049679;
ZNF500,HPA035498;HPA057963;
ABCC1,HPA002380;HPA076011;
NARFL,HPA040851;
MTHFSD,HPA041333;
CLCN7,HPA043019;HPA043586;
FAM173A,HPA046262;
METRN,HPA051164;
STUB1,CAB037202;CAB037209;HPA041222;HPA043531;
RHBDL1,HPA030359;HPA030360;HPA046593;
NUBP1,HPA041656;HPA041799;
EEF2K,CAB007818;HPA056061;
CAPN15,HPA011960;
GSPT1,HPA052488;HPA074588;
ZNF174,HPA009656;
CLUAP1,HPA036976;HPA044191;
GGA2,CAB034422;HPA043313;HPA063634;
USP31,HPA006937;
HMOX2,CAB025464;HPA040611;
DNAJA3,CAB016095;HPA040875;HPA044229;
SALL1,HPA049829;HPA074673;
PYCARD,CAB006853;CAB015948;HPA049074;HPA054496;
RPGRIP1L,HPA039405;HPA040530;
MAZ,HPA048315;HPA059495;HPA065930;
STX4,HPA001330;
CDIPT,HPA056597;
BCKDK,HPA017995;HPA056067;
NOMO1,CAB025192;HPA046697;HPA061174;
IL21R,HPA042296;
SYT17,HPA042059;
CCP110,HPA039402;
VPS35L,HPA042969;HPA053547;
RNF40,HPA041330;HPA054227;
AAGAB,HPA039371;HPA040174;
IQCH,HPA040845;
LACTB,HPA036361;HPA036362;
CORO2B,HPA017960;
CSK,CAB011203;HPA026488;HPA028425;
MTFMT,HPA040710;
AP3B2,HPA039467;HPA039818;
TTC23,HPA039806;HPA040369;
CD276,HPA009285;HPA017139;CAB017826;
RPAP1,HPA041739;
TMEM87A,HPA018104;HPA018189;
ZNF106,HPA054267;
CEP152,HPA039408;
ATP8B4,HPA040254;
FAM189A1,HPA009410;HPA010637;
TJP1,HPA001636;HPA001637;CAB010822;
BMF,HPA010120;
DNAJC17,HPA040914;HPA041187;
EIF3J,HPA050977;
SPG11,HPA040412;HPA040947;
MYEF2,HPA004883;
PDGFRL,HPA052801;
TRIM35,HPA019647;
ZFAND1,HPA023383;
INTS9,HPA051615;HPA066822;
NBN,HPA001429;CAB003836;
DECR1,HPA023160;HPA023162;HPA023238;
CALB1,CAB002138;HPA023099;HPA056734;
IMPAD1,HPA009411;
IKBKB,HPA001249;CAB004447;
PLAT,HPA003412;CAB009335;
JPH1,HPA008996;HPA009413;CAB013461;
GDAP1,HPA014266;HPA024334;
EIF3E,HPA023973;
WISP1,HPA007121;CAB012205;
NDRG1,HPA006881;
ARMC1,HPA026085;
TRPS1,HPA060380;HPA071767;
CHRAC1,HPA059008;
UBR5,HPA053688;
GSDMD,CAB004656;HPA044487;
TSTA3,HPA023361;
ANXA13,HPA018535;HPA019569;HPA019650;CAB025135;
SQLE,HPA018038;HPA020762;
SH2D4A,HPA001871;HPA001919;
INTS10,HPA039129;HPA050570;
DCTN6,HPA024049;HPA024558;
R3HCC1,HPA023073;HPA023153;
GSR,HPA001538;CAB008632;HPA064806;
TNFRSF10A,HPA050958;HPA054475;
ERICH1,HPA003725;
ARHGEF10,HPA024649;
KLHDC4,HPA041665;
MCM4,CAB004497;HPA004873;HPA031052;
KCTD9,HPA042468;HPA047902;
BNIP3L,HPA015652;CAB025371;
MAN2B1,HPA041530;HPA053404;
NUCB1,HPA008176;
DHDH,HPA044131;
GYS1,CAB007793;HPA041598;
MAP4K1,HPA007419;CAB007754;
CGB2,HPA038925;HPA038934;
ECH1,HPA002907;HPA005835;
HNRNPL,CAB016326;HPA051748;HPA052661;
CGB3,CAB000042;CAB010884;HPA038925;HPA038934;
TUBB4A,CAB010768;HPA043640;HPA046280;
SNRNP70,CAB001718;HPA042050;HPA043516;
RELB,CAB007753;HPA040506;
CLASRP,HPA060469;HPA062455;
PPP1R37,HPA041500;
PIH1D1,HPA047258;
PPP1R13L,CAB005016;HPA041231;HPA059883;
PLEKHJ1,HPA048989;
RNASEH2A,HPA042692;
KLC3,HPA052797;HPA056508;
SF3A2,HPA042843;HPA049439;
OAZ1,HPA009291;
STX10,HPA035303;HPA056439;
DMPK,HPA007164;HPA008905;
PTOV1,HPA051812;HPA075125;
AES,HPA049499;
SGTA,HPA056309;
MED25,HPA068802;
SNAPC2,HPA049843;HPA077597;
C19orf53,HPA059928;HPA061291;
TIMM44,HPA043052;HPA073108;
CCDC61,HPA040325;HPA061548;
ASF1B,HPA054036;HPA069385;
TNNT1,CAB015168;HPA058448;
VRK3,HPA056489;
FAM32A,HPA051712;
PPP6R1,HPA043989;HPA063681;
OLFM2,HPA049961;HPA057771;
ZNF419,HPA003152;HPA003274;
SYDE1,HPA013328;
CCNE1,CAB000308;CAB016682;HPA018169;
PDCD5,HPA018471;
ANKRD27,HPA042769;
RPS16,HPA064222;
TIMM50,HPA048843;HPA056448;
LGALS13,HPA046803;
GPI,CAB018655;HPA024305;CAB040563;HPA052171;
PIAS4,HPA010598;HPA076008;
CCDC94,HPA043606;HPA055675;
SHD,HPA017955;
TBCB,HPA041428;HPA041722;
POLR2I,HPA035632;HPA045156;
PRKD2,HPA021490;HPA056727;
TJP3,CAB013244;HPA046863;HPA053337;
CACTIN,HPA042504;HPA042548;
HNRNPUL1,HPA046290;CAB046477;HPA049475;
FZR1,HPA043536;
DMAC2,HPA041427;
SIGLEC8,HPA012556;
NOP53,HPA018999;HPA049600;
ETFB,HPA018910;HPA018921;HPA018923;
CDC37,HPA003928;CAB004214;
NAPA,CAB010100;HPA046149;HPA050196;
RABAC1,CAB019320;HPA029171;
MEIS3,HPA046699;
PTPRS,HPA054747;
CNFN,HPA049073;HPA053997;
KDELR1,CAB017455;
GRWD1,HPA042643;HPA055680;
CLEC11A,HPA042690;
CARD8,HPA042071;HPA043513;
LIG1,CAB037015;HPA041431;HPA048071;
MIER2,HPA041439;
PPP2R1A,CAB018599;
GCDH,HPA043252;HPA048492;
MAST1,HPA028181;HPA073106;
PRPF31,HPA041939;HPA061873;
TFPT,HPA034958;HPA058534;
ISYNA1,HPA007931;HPA008232;CAB020720;
COPE,CAB034345;HPA041605;HPA043576;
ARMC6,HPA041420;HPA041681;
KXD1,HPA041507;HPA041599;
FKBP8,CAB025346;HPA045177;
SUGP1,HPA004890;
ZNF14,HPA049863;
PBX4,HPA049859;HPA056469;
GSK3A,CAB004422;HPA028423;
ATP13A1,HPA031798;HPA049717;
ZNF574,HPA023196;HPA057274;
ZNF85,HPA044760;
ETHE1,HPA028360;HPA029028;HPA029029;
CADM4,HPA012612;
SMG9,HPA041763;HPA042096;
DNAJC2,HPA020454;
TWISTNB,HPA019071;HPA022416;
HBP1,HPA020225;CAB032824;
DUS4L,HPA044301;
SP4,CAB010246;HPA040395;
DLX5,HPA005670;
MTPN,HPA019735;
GSDME,HPA011326;CAB019306;
ATP6V0A4,HPA018029;HPA064555;
ZC3HAV1,HPA047818;HPA059096;
TTC26,HPA036338;HPA036339;
OGDH,HPA019514;HPA020347;
ADAP1,HPA007033;HPA012049;
CAV2,CAB013488;HPA044810;
CAV1,CAB003791;HPA049326;
MET,CAB005282;CAB018577;HPA055607;
LMBR1,HPA016592;
WNT2,HPA020920;
DNAJB6,CAB004670;HPA024258;HPA058593;
HOXA3,HPA029157;
IQCE,HPA019515;
ANKRD7,HPA043489;HPA052941;
TSPAN12,HPA051570;HPA058244;
SSBP1,HPA002866;
CPED1,HPA012058;
TAX1BP1,HPA024432;
CPVL,CAB003697;HPA045715;HPA056466;
CHN2,HPA018989;HPA019026;
GRB10,CAB019423;HPA027502;HPA031818;
ABHD11,HPA024042;HPA049641;
FKBP14,HPA013329;HPA026829;
GARS,HPA017896;HPA019097;
MINDY4,HPA019475;HPA030129;HPA030130;
CASP2,CAB012175;HPA050678;
CHCHD2,HPA027407;HPA052510;
HSPB1,HPA000497;CAB004439;CAB047330;CAB047331;CAB047332;
BUD31,HPA028943;
SNX8,HPA057296;HPA060194;
NUDT1,HPA012636;
WASL,CAB005399;HPA005750;
AIMP2,HPA019098;HPA020057;
MOSPD3,HPA041137;HPA048240;
USP42,HPA064800;
SERPINE1,HPA050039;CAB068501;
C1GALT1,HPA011294;HPA012819;
ZNHIT1,HPA019043;
GLCCI1,HPA001674;HPA005987;
MYL10,HPA019763;
EZH2,CAB009589;
ZNF862,HPA024154;
MEST,HPA005623;
TSPAN13,HPA007426;
AHR,CAB005072;HPA029722;HPA029723;
CHCHD3,HPA042935;
COA1,HPA011944;
URGCP,HPA019879;HPA020134;HPA029468;
TMEM248,HPA016495;
PRKAG2,HPA004246;CAB018641;
POLD2,HPA026745;
GCK,HPA007034;HPA007093;
BCL7B,HPA049943;HPA058069;
YKT6,HPA030817;HPA030818;
TBL2,HPA007477;HPA051533;
LIMK1,HPA028516;HPA073571;
LHX2,HPA000838;
TMEM245,HPA023892;
MEGF9,HPA014319;HPA050238;
CORO2A,HPA041161;HPA041302;
SEC61B,HPA049407;
LHX6,HPA047854;HPA058319;
SUSD1,HPA048554;
DNM1,CAB005920;HPA049910;HPA061801;
AK1,HPA006456;CAB009893;
PLGRKT,HPA008214;HPA011144;
TBC1D13,HPA045865;
ELAVL2,CAB022222;HPA063001;
NCS1,CAB018587;HPA019713;
FUBP3,HPA047658;HPA058392;
CREB3,HPA030978;
RGP1,HPA020414;HPA021085;
EDF1,HPA035642;
GLIS3,HPA056426;
BAG1,CAB002486;HPA018121;
SETX,HPA024105;HPA057269;
SHB,CAB010161;HPA049911;HPA052108;
UBE2R2,HPA061000;HPA074334;
EXOSC3,HPA020485;
ZFAND5,HPA018129;HPA077824;
PDLIM1,HPA017010;CAB072838;CAB072840;
CCNJ,HPA036531;HPA058151;
DNTT,HPA036532;HPA044194;
ATRNL1,HPA038070;
RASSF4,HPA038834;HPA077069;
RAB11FIP2,HPA037726;
ERLIN1,HPA011252;
EIF3A,HPA038315;HPA038316;
DDX50,HPA037388;HPA037389;HPA058196;
SEC23IP,HPA038403;HPA043305;
ATE1,HPA038444;HPA057549;
NSMCE4A,HPA037459;HPA038412;HPA044872;
VSIR,HPA007968;
MICU1,HPA037479;HPA037480;
CCSER2,HPA037481;HPA037482;
BMPR1A,CAB019398;
LZTS2,HPA044956;
FBXW4,HPA043496;
NPM3,HPA036295;HPA036296;
TNKS2,HPA036606;
GBF1,HPA037759;HPA037760;
CUEDC2,HPA036544;HPA041829;
SUFU,HPA008700;
ANKRD26,HPA040654;HPA041460;
LHPP,HPA009163;HPA009269;
LARP4B,HPA036566;HPA042738;
GTPBP4,HPA039618;HPA056468;
EDRF1,HPA031820;
PITRM1,HPA006753;HPA006754;
STN1,HPA037924;HPA037925;
MAP3K8,CAB005120;HPA017962;
SORCS1,HPA011948;
FAM208B,HPA038042;HPA038043;HPA061547;
SMC3,HPA037411;HPA043206;
TFAM,HPA040648;HPA063684;
CCDC6,HPA019049;HPA019051;
CUL2,CAB002677;HPA024578;
UBE2S,CAB015228;HPA057150;
RPL28,HPA050459;
TBC1D12,HPA038277;HPA038645;
KRT23,HPA012050;HPA016959;CAB017091;
GIT1,HPA004059;HPA004186;
RPL19,HPA043014;HPA051987;
UBTF,CAB004611;HPA006385;
PSMD3,CAB017038;HPA048972;
CASC3,HPA024592;HPA050262;
RAPGEFL1,HPA022895;
ASPA,HPA022142;HPA022145;
DHX40,HPA044350;
TUBD1,CAB004609;HPA023980;HPA027090;
KPNB1,HPA029878;CAB034449;HPA050302;
GOSR2,CAB017456;HPA048956;HPA054472;
PNPO,HPA023204;HPA027776;
RPS6KB1,CAB003838;CAB018346;HPA039442;
GALK1,HPA007094;HPA016960;
CAMTA2,HPA027835;HPA051147;
HOXB6,HPA042063;
PFN1,CAB037134;CAB037140;
RAI1,HPA023898;HPA054906;
NUP88,CAB002209;HPA021816;
C1QBP,HPA026483;
CCDC47,HPA029674;HPA072573;HPA075958;
MED31,HPA035947;
FTSJ3,HPA055544;HPA062628;
AKAP10,HPA028901;
ALDH3A1,CAB045957;HPA051150;HPA063783;
SYNGR2,HPA014742;
C17orf75,HPA004061;HPA075333;
CYTH1,HPA047498;
HSD17B1,HPA021032;HPA065296;
CNTNAP1,HPA011772;
EZH1,HPA005478;HPA077684;
DLX4,HPA059933;
LRRC59,HPA030827;HPA030829;
ALOX12,HPA010691;CAB019287;HPA064819;
HDAC5,CAB019400;HPA030991;
LUC7L3,HPA018475;HPA018484;HPA020017;
MPP2,HPA026486;HPA073483;
DUSP3,HPA063616;
SLC16A6,HPA054459;HPA066328;
PRKAR1A,CAB019378;HPA049979;
YWHAE,HPA008445;CAB016200;CAB021109;CAB047350;HPA061603;
RANGRF,HPA057280;HPA057888;
MAP2K6,CAB007744;HPA031134;
DHRS7B,HPA012132;HPA016873;
WSB1,HPA003293;
SLC9A3R1,CAB001962;HPA009672;HPA027247;
NAT9,HPA021820;HPA057149;
TMEM104,HPA044330;
TNFAIP1,HPA013333;HPA014641;
IFT20,HPA021376;
CDR2L,HPA022015;
SUPT6H,CAB012416;HPA036382;
PHF12,HPA021410;HPA021452;
OCIAD1,HPA044803;
DCUN1D4,HPA036483;HPA036484;
ODAM,HPA036279;HPA036543;HPA070297;
KIAA1211,HPA043249;HPA048148;
NFKB1,CAB004031;HPA027305;
AREG,HPA008720;CAB023519;
UBE2D3,HPA003920;
ZNF330,HPA015705;HPA056325;
INPP4B,HPA037681;HPA037682;
CPE,HPA003819;CAB024907;
RPL34,HPA035139;
GAR1,HPA059098;
TRIM2,HPA035853;HPA035854;
FBXW7,CAB013793;CAB029987;
TBC1D19,HPA039592;
CLNK,HPA035671;HPA035672;
NKX3-2,HPA027564;
MFSD10,HPA043209;
UGDH,CAB034444;HPA036656;HPA036657;
CRYAB,CAB002053;CAB040560;HPA057100;
HTATIP2,HPA006417;HPA024321;
CCDC34,HPA037574;
ELP4,HPA038572;HPA038573;
ZPR1,CAB022596;HPA030979;
MTCH2,HPA038390;
FNBP4,HPA039485;HPA040029;
JHY,HPA039612;HPA040344;HPA077658;HPA077748;
B3GAT1,CAB002500;CAB010893;HPA069468;HPA074314;
VWA5A,HPA037813;HPA037814;HPA061500;
DTX4,HPA056760;HPA059294;
OSBP,HPA039227;HPA043625;
PUS3,HPA038040;HPA063802;
DCPS,HPA039632;HPA058597;
KMT5B,HPA063648;
FOXRED1,HPA039620;HPA046192;
PPP6R3,CAB017183;HPA038467;HPA038468;
PRPF19,CAB012448;HPA038051;HPA059070;
TMEM109,HPA011785;
TRIM3,HPA043396;HPA048233;
CHORDC1,HPA041040;
ANAPC15,HPA036596;
PANX1,HPA016930;
ARHGEF17,HPA007991;
RNF141,HPA018133;
CEP126,HPA038381;HPA038399;
EIF4G2,CAB005163;HPA006773;HPA016965;
UBE4A,HPA055035;HPA064010;
CBL,CAB004350;HPA027956;
KIAA1549L,HPA010132;HPA051594;
FBXO3,HPA002467;
PDHX,HPA038484;HPA038485;
SLC15A3,HPA047880;HPA057642;
ACCS,HPA018873;HPA021654;
AMBRA1,CAB017825;HPA038535;
MADD,HPA038568;
PTPMT1,HPA043932;HPA060060;
